"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","UNEMP","15_24","PC_LF","M","2020-10",12.9,
"PRT","UNEMP","15_24","PC_LF","M","2019-09",18.8,
"PRT","UNEMP","15_24","PC_LF","M","2019-10",17.7,
"PRT","UNEMP","15_24","PC_LF","M","2019-11",18.6,
"PRT","UNEMP","15_24","PC_LF","M","2019-12",18.7,
"PRT","UNEMP","15_24","PC_LF","M","2020-01",19.5,
"PRT","UNEMP","15_24","PC_LF","M","2020-02",18.9,
"PRT","UNEMP","15_24","PC_LF","M","2020-03",18.3,
"PRT","UNEMP","15_24","PC_LF","M","2020-04",20.6,
"PRT","UNEMP","15_24","PC_LF","M","2020-05",21.4,
"PRT","UNEMP","15_24","PC_LF","M","2020-06",27.4,
"PRT","UNEMP","15_24","PC_LF","M","2020-07",26.2,
"PRT","UNEMP","15_24","PC_LF","M","2020-08",26.8,
"PRT","UNEMP","15_24","PC_LF","M","2020-09",24.3,
"PRT","UNEMP","15_24","PC_LF","M","2020-10",23.9,
"GRC","UNEMP","15_24","PC_LF","M","2019-09",35.3,
"GRC","UNEMP","15_24","PC_LF","M","2019-10",34.5,
"GRC","UNEMP","15_24","PC_LF","M","2019-11",35.3,
"GRC","UNEMP","15_24","PC_LF","M","2019-12",32.3,
"GRC","UNEMP","15_24","PC_LF","M","2020-01",31.8,
"GRC","UNEMP","15_24","PC_LF","M","2020-02",36.2,
"GRC","UNEMP","15_24","PC_LF","M","2020-03",34.3,
"GRC","UNEMP","15_24","PC_LF","M","2020-04",32.9,
"GRC","UNEMP","15_24","PC_LF","M","2020-05",38.9,
"GRC","UNEMP","15_24","PC_LF","M","2020-06",37.5,
"GRC","UNEMP","15_24","PC_LF","M","2020-07",36,
"GRC","UNEMP","15_24","PC_LF","M","2020-08",39.3,
"EST","UNEMP","15_24","PC_LF","M","2019-09",9.3,
"EST","UNEMP","15_24","PC_LF","M","2019-10",8.1,
"EST","UNEMP","15_24","PC_LF","M","2019-11",9.2,
"EST","UNEMP","15_24","PC_LF","M","2019-12",9.3,
"EST","UNEMP","15_24","PC_LF","M","2020-01",8.6,
"EST","UNEMP","15_24","PC_LF","M","2020-02",9.6,
"EST","UNEMP","15_24","PC_LF","M","2020-03",9.9,
"EST","UNEMP","15_24","PC_LF","M","2020-04",13.2,
"EST","UNEMP","15_24","PC_LF","M","2020-05",17.9,
"EST","UNEMP","15_24","PC_LF","M","2020-06",23.2,
"EST","UNEMP","15_24","PC_LF","M","2020-07",23.7,
"EST","UNEMP","15_24","PC_LF","M","2020-08",20.9,
"EST","UNEMP","15_24","PC_LF","M","2020-09",20.7,
"IRL","UNEMP","15_24","PC_LF","M","2019-09",11.7,
"IRL","UNEMP","15_24","PC_LF","M","2019-10",10.7,
"IRL","UNEMP","15_24","PC_LF","M","2019-11",10.7,
"IRL","UNEMP","15_24","PC_LF","M","2019-12",11.2,
"IRL","UNEMP","15_24","PC_LF","M","2020-01",11.9,
"IRL","UNEMP","15_24","PC_LF","M","2020-02",12,
"IRL","UNEMP","15_24","PC_LF","M","2020-03",12.6,
"IRL","UNEMP","15_24","PC_LF","M","2020-04",13,
"IRL","UNEMP","15_24","PC_LF","M","2020-05",14.2,
"IRL","UNEMP","15_24","PC_LF","M","2020-06",15.9,
"IRL","UNEMP","15_24","PC_LF","M","2020-07",17.8,
"IRL","UNEMP","15_24","PC_LF","M","2020-08",18.2,
"IRL","UNEMP","15_24","PC_LF","M","2020-09",19.8,
"IRL","UNEMP","15_24","PC_LF","M","2020-10",19,
"LTU","UNEMP","15_24","PC_LF","M","2019-09",13.1,
"LTU","UNEMP","15_24","PC_LF","M","2019-10",14,
"LTU","UNEMP","15_24","PC_LF","M","2019-11",14.5,
"LTU","UNEMP","15_24","PC_LF","M","2019-12",14.9,
"LTU","UNEMP","15_24","PC_LF","M","2020-01",15.3,
"LTU","UNEMP","15_24","PC_LF","M","2020-02",15.6,
"LTU","UNEMP","15_24","PC_LF","M","2020-03",15.9,
"LTU","UNEMP","15_24","PC_LF","M","2020-04",19.4,
"LTU","UNEMP","15_24","PC_LF","M","2020-05",21.2,
"LTU","UNEMP","15_24","PC_LF","M","2020-06",21.8,
"LTU","UNEMP","15_24","PC_LF","M","2020-07",22.5,
"LTU","UNEMP","15_24","PC_LF","M","2020-08",23.6,
"LTU","UNEMP","15_24","PC_LF","M","2020-09",24.9,
"LTU","UNEMP","15_24","PC_LF","M","2020-10",27.1,
"SWE","UNEMP","15_24","PC_LF","M","2019-09",20.5,
"SWE","UNEMP","15_24","PC_LF","M","2019-10",20.4,
"SWE","UNEMP","15_24","PC_LF","M","2019-11",20.1,
"SWE","UNEMP","15_24","PC_LF","M","2019-12",19.9,
"SWE","UNEMP","15_24","PC_LF","M","2020-01",20.7,
"SWE","UNEMP","15_24","PC_LF","M","2020-02",20.1,
"SWE","UNEMP","15_24","PC_LF","M","2020-03",19.5,
"SWE","UNEMP","15_24","PC_LF","M","2020-04",24.9,
"SWE","UNEMP","15_24","PC_LF","M","2020-05",25.5,
"SWE","UNEMP","15_24","PC_LF","M","2020-06",28.3,
"SWE","UNEMP","15_24","PC_LF","M","2020-07",28.3,
"SWE","UNEMP","15_24","PC_LF","M","2020-08",26.7,
"SWE","UNEMP","15_24","PC_LF","M","2020-09",24.6,
"SWE","UNEMP","15_24","PC_LF","M","2020-10",23.6,
"FIN","UNEMP","15_24","PC_LF","M","2019-09",18.3,
"FIN","UNEMP","15_24","PC_LF","M","2019-10",18.3,
"FIN","UNEMP","15_24","PC_LF","M","2019-11",16.8,
"FIN","UNEMP","15_24","PC_LF","M","2019-12",18.9,
"FIN","UNEMP","15_24","PC_LF","M","2020-01",19.7,
"FIN","UNEMP","15_24","PC_LF","M","2020-02",16.9,
"FIN","UNEMP","15_24","PC_LF","M","2020-03",20.5,
"FIN","UNEMP","15_24","PC_LF","M","2020-04",21.1,
"FIN","UNEMP","15_24","PC_LF","M","2020-05",23.2,
"FIN","UNEMP","15_24","PC_LF","M","2020-06",21.8,
"FIN","UNEMP","15_24","PC_LF","M","2020-07",23.7,
"FIN","UNEMP","15_24","PC_LF","M","2020-08",22.7,
